id,checked,notes,slug,tecservices_id,organization_name,organization_type,full_address,address,city,state,zip_code,org_phone,hours,website,appointment,internet,wifi,training,pc_use_restrictions,hardware_public,assistive_technology,internet_upload,internet_download,volunteers_used,volunteers_used_how,volunteers_wanted_how,public_wifi_detail,nearest_parking,nearest_parking_detail,public_transportation_detail,time_allowed_per_user,time_allowed_per_user_detail,room_list,handicap_access_detail,friendly_description,agency_leadership_contact,agency_staff_person_contact_email,twitter_handle,training_types,flickr_tag,training_headline,training_description,training_url,october_open_house,location_leadership,location_leadership_email,pcc_staff_person,pcc_staff_person_email,latitude,longitude
15,yes,missing info on specific location of computers within library,archer-heights-library-5055-s-archer-avenue,1016,Archer Heights Library,Chicago Public Library,"5055 S. Archer Avenue Chicago, IL 60632",5055 S. Archer Avenue,Chicago,IL,60632,,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/archer-heights/,0,1,1,0,,,,,,,,,,,,CTA Pulaski - Orange Line (3 min walk),,,,,,Ulo Ormiste,uormiste@chipublib.org,,,pcc-archer-heights-15,,,,,,,,,41.8012076,-87.7265147
16,yes,Lumity has not signed them up as a CTC @ this time,arthur-d-griffin-community-learning-center-1613-west-washington-blvd,,Arthur D. Griffin Community Learning Center,Community Technology Center,"1613 West Washington Blvd. Chicago, IL 60612",1613 West Washington Blvd.,Chicago,IL,60612,(773) 243-1373,T-F: 9:30AM-12:30PM & 3:30PM-8PM; SA: 10PM-2PM,,2,1,1,1,,,,,,,,,,,,CTA Ashland - Pink and Green lines (3 min walk) & bus stop within walking distance,,,,,,,"kkennedy@lumity.org,  jcarter@lumity.org",,,pcc-arthur-d-griffin-16,,,,,,,,,41.8832805,-87.6675338
17,yes,,arturo-velasquez-institute-avi-2800-s-western-avenue,1011,Arturo Velasquez Institute (AVI),City Colleges of Chicago,"2800 S. Western Avenue Chicago, IL 60608",2800 S. Western Avenue,Chicago,IL,60608,773-838-4500,Varies— see details,http://www.ccc.edu/colleges/daley/departments/pages/arturo-velasquez-institute.aspx,2,1,2,2,"No unsupervised youth under the age of 16 may access any PCC.  To facilitate use of equipment by youth younger than 16 years of age, supervision must be provided by a parent or guardian who is at least 18 years old and who may consent to various applicable laws, ordinances, policies, procedures, regulations, and rules.  In addition to any and all applicable federal, state, local, municipal and CCC policies, procedures, rules and regulations, all users of CCC information resources must comply with the CCC Responsible Computer Use Policy as provided at Section 6.0 of the CCC Board Policies and Procedures for Management and Government.  A copy of the policy is conveniently located at http://ccc.edu/departments/Documents/BoardPolicies2010-2011.pdf.  Should a new version of the policy be published, it may be found by navigating to the Board Policies and Procedures link off of the CCC Board of Trustees page located at http://ccc.edu/departments/Pages/Board-of-Trustees.aspx.",100,,64.78 Mbps,76.48 Mbps,no,,,CCC free public access. No access code required,Free,Building has parking at either end of building,Bus stop on Western & 28th Street,Timed,Classes are held in labs and library and given priority.,1st Floor  2nd Floor,Door are handicapped accessible,"The Arturo Velasquez Institute (AVI) is the satellite campus
of Richard J. Daley College, a public post-secondary institution which offers a variety of programs to enrich the personal and professional lives of the
communities it serves.

     ","Willa Morgan, Cleveland Thompson","wmorgan1@ccc.edu, cthompson@ccc.edu",,,pcc-arturo-velasquez-institute-17,,,,,,,,,41.8410806,-87.6860628
18,yes,,asian-human-services-4820-n-broadway-3rd-floor,1127,Asian Human Services,WorkNet Chicago,"4820 N. Broadway, 3rd Floor Chicago, IL 60640","4820 N. Broadway, 3rd Floor",Chicago,IL,60640,773-293-8100,M-F: 9AM-5PM,http://www.ahschicago.org,0,1,1,1,"Strictly employment related usage allowed (i.e. no youtube, facebook, etc.) No installations.",11,,1.5 Mbps,2 Mbps,no,,Help at resource room.,"Protected WPA2, strong stregn",Paid,"Street parking if available, $1.75hr","CTA, corner of the street.",Timed,45-60 mins,,,,"Ivan Li, John Mikols","ili@ahschicago.org, John.Mikols@cityofchicago.org",,,pcc-asian-human-services-18,,,,,Ivan Li,ili@ahschicago.org,,,41.9696981,-87.6599255
19,yes,Organization sent updated info 11-5,asian-human-services-leaf-program-6015-n-francisco,,"Asian Human Services, LEAF Program",Community Technology Center,"2838 W. Peterson Chicago, IL 60659",2838 W. Peterson,Chicago,IL,60659,(773) 564-4944,M-Th: 9AM-8PM; Fri: 9AM-5PM,http://www.ahschicago.org,1,1,0,1,,,,,,,,,,Street parking,"Street parking if available, $1.75hr on Francisco and Mozart",Bus stop on Peterson & Francisco,,,Computer lab is located on the 2nd Floor with 19 computers,Computer lab is not handicapped accessible. Front entrance and restroom are handicap accessible,"Adult education and literacy center that provides ESL,GED, Early Childhood Education Bridge Program and Computer Literacy Classes.",Barth Landor; Ines Lagos,blandor@ahschicago.org; ilagos@ahschicago.org,,,pcc-asian-human-services--19,,The LEAF Program provides training in Digital Literacy and Microsoft Office. We offer organized group classes taught by qualified trainers.,,,Ines Lagos,ilagos@ahschicago.org,Joanna Medina-Moy,jmoy@ahschicago.org,41.9906806,-87.7018355
20,yes,,auburn-gresham-senior-satellite-center-1040-w-79th-st,1095,Auburn Gresham Senior Satellite Center,Senior Center,"1040 W. 79th St Chicago, IL 60620",1040 W. 79th St,Chicago,IL,60620,312-745-4797,M-F: 8:30AM-4:30PM,http://www.cityofchicago.org/city/en/depts/fss/provdrs/senior/svcs/satellite_seniorcenters.html,1,0,0,1,Must be 55 or older,6,not purchased yet,.75 Mbps,6 Mbps,yes,general senior center assistance,,not activated yet,Free,Across the street,Bus stop on 79th Street & Aberdeen,Varies by availability,lab time during the week,,,"Chicago Department of Family and Support Services (CDFSS) Regional
and Satellite Senior Centers offer public computer access and digital literacy training. The centers are community focal points where older adults come
together for services and activities that reflect their experience and skills,
respond to their diverse needs and interests, enhance their dignity, supports
their independence, and encourage their involvement in and with the center and
the community.",John Mikols,John.Mikols@cityofchicago.org,,,pcc-auburn-gresham-senior-20,,,,,Deitra Walker,,,,41.7505316,-87.6503307
21,YES,missing details on where specifically within library computer labs are located and how mnay computers,austin-library-5615-w-race-avenue,1017,Austin Library,Chicago Public Library,"5615 W. Race Avenue Chicago, IL 60644",5615 W. Race Avenue,Chicago,IL,60644,(312) 746-5038,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/austin/,0,1,1,1,,,,,,,,,,,,Bus stop on Central & Race,,,,,"Austin Branch, an impressive building featuring decorative columns and 
moldings, was renovated between 1979 and 1981. It is named after 
developer Henry W. Austin who in 1865 created a 280-acre subdivision of 
Cicero Township. This library participates in the CyberNavigator program and has computers available for public use. This branch also has free classroom trainings on computers and technology taught by qualified trainers from Tech Services, Inc.",Ulo Ormiste,uormiste@chipublib.org,,,pcc-austin-21,"CyberNavigators are available at this library to lead computer training classes and answer technology questions. This branch also has free classroom trainings on computers and technology taught by qualified trainers from TEC Services, Inc.","CyberNavigators offer both small group classes and
one-on-one sessions at 45 library locations throughout the city. One-on-one
sessions are by appointment only and may last up to one hour.

Learn about:

Computer basics 

Email basics 

Internet basics 

Online job searching and resume writing 

Online research methods 

How to use the Chicago Public Library website, including
checking account information and renewing materials 

TEC Services, Inc. offers organized group classes on using computers and technology. To view available courses at your branch, visit http://www.chipublib.org/eventsprog/programs/cyber_nav_branches.php",http://www.chipublib.org/eventsprog/programs/cyber_nav_branches.php,,,,,,41.889135,-87.766925
22,yes,"not found on Lumity site; not listed on mercy housing site, but number checks out",austin-community-technology-center-4943-w-quincy,,Austin Community Technology Center,Community Technology Center,"4943 W. Quincy Chicago, IL 60644",4943 W. Quincy,Chicago,IL,60644,(773) 626-5685,M-W: 8:30AM-6:30PM; TH: 10AM-8PM; F: 8:30AM-6:30PM; SA: 8:30AM-5PM,http://www.mercyhousing.org,2,1,0,1,,,,,,,,,,,,Bus stop on Jackson & Lavergne,,,,,,,"kkennedy@lumity.org,  jcarter@lumity.org",,,pcc-austin-ctc-22,,,,,,,,,41.877384,-87.748979
23,yes,,austin-senior-satellite-center-5071-w-congress-pkwy,1096,Austin Senior Satellite Center,Senior Center,"5071 W. Congress Pkwy Chicago, IL 60644",5071 W. Congress Pkwy,Chicago,IL,60644,312-743-1538,M-F: 8:30AM-4:30PM,http://www.cityofchicago.org/city/en/depts/fss/supp_info/satellite_centerinformation.html,1,1,0,1,Seniors who are 55 years or older who have taken a computer course at the Center or who have demonstrated computer skills,6,not purchased yet,1 Mbps,6 Mbps,yes,general senior center duties,,not activated yet,Free,"40 spaces(in front of and side of bldg., free",Bus Line/ 1/2 block an 1 block away,Varies by availability,lab time during the week,,"Single floor bldg, ADA accessible","Chicago Department of Family and Support Services (CDFSS) Regional
and Satellite Senior Centers offer public computer access and digital literacy training. The centers are community focal points where older adults come
together for services and activities that reflect their experience and skills,
respond to their diverse needs and interests, enhance their dignity, supports
their independence, and encourage their involvement in and with the center and
the community.",John Mikols,John.Mikols@cityofchicago.org,,,pcc-austin-senior-satellite-23,,,,,Tom Jones,,,,41.873971,-87.7520948
24,yes,missing specific location of computers within library and contact info,austin-irving-library-6100-w-irving-park-road,1018,Austin-Irving Library,Chicago Public Library,"6100 W. Irving Park Road Chicago, IL 60634",6100 W. Irving Park Road,Chicago,IL,60634,(312) 744-6222,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/austin-irving/,0,1,1,0,,,,,,,,,,,,Bus stop on Irving Park & Meade,,,,,"Austin-Irving Branch opened December 8, 2001, replacing a much 
smaller storefront facility. In April 1970, Austin-Irving Branch became 
the sixty-fifth branch of the Chicago Public Library. Previously, the area 
was serviced by a mobile unit. This branch has computers available for public use.",Ulo Ormiste,uormiste@chipublib.org,,,pcc-austin-irving-24,,,,,Tony Powers,,,,41.9531653,-87.7797481
25,yes,missing specific location of computers within library and contact info,avalon-library-8148-s-stony-island-avenue,1019,Avalon Library,Chicago Public Library,"8148 S. Stony Island Avenue Chicago, IL 60617",8148 S. Stony Island Avenue,Chicago,IL,60617,(312) 747-5234,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/avalon/,0,1,1,1,,,,,,,,,,,,Bus stop on Stony Island & 82nd Street,,,,,"The Avalon Branch opened March 7, 2006, after occupying several locations, including the previous smaller rented storefront. This branch has computers available for public use.",Ulo Ormiste,uormiste@chipublib.org,,,pcc-avalon-25,,,,,,,,,41.7460914,-87.5861033
26,yes,,back-of-the-yards-library-4650-s-damen-avenue,1020,Back of the Yards Library,Chicago Public Library,"4650 S. Damen Avenue Chicago, IL 60609",4650 S. Damen Avenue,Chicago,IL,60609,,CLOSED,http://www.chipublib.org/branch/details/library/back-of-the-yards/,2,2,2,2,,,,,,,,,,,,Bus stop on Damen & 54th Street,,,,,This branch is closed due to repeated flooding.,Ulo Ormiste,uormiste@chipublib.org,,,pcc-back-of-the-26,,,,,,,,,41.8096287,-87.674959
27,yes,not lumity,back-of-the-yards-neighborhood-council-ctc-1751-w-47th-street-2nd-floor,,Back of the Yards Neighborhood Council CTC,Community Technology Center,"1751 W 47th Street, 2nd Floor Chicago, IL 60609","1751 W 47th Street, 2nd Floor",Chicago,IL,60609,(773) 523-4416,M-F: 9AM-7PM,http://www.bync.org,2,1,1,1,,,,,,,,,,,,Bus stop on 47th Street & Wood,,,,,,,"kkennedy@lumity.org,  jcarter@lumity.org",https://twitter.com/#!/BYNCorg,,pcc-back-of-the-27,,"The BYNC has a Community Technology Center (CTC) that allows its users to acquire the basic skills necessary to operate a PC by providing access to computers and the BYNC’s knowledgeable staff. Business owners, neighborhood children, and job seekers all benefit from the Back of the Yards Neighborhood Council’s CTC.",,,Norma Manzo,,,,41.808302,-87.669383
28,yes,missing information on specific location of computers within library and missing contact info,beverly-library-2121-w-95th-street,1021,Beverly Library,Chicago Public Library,"2121 W. 95th Street Chicago, IL 60643",2121 W. 95th Street,Chicago,IL,60643,(312) 747-9673,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/beverly/,0,1,1,0,,,,,,,,,,,,Bus stop on 95th Street & Leavitt,,,,,"On June 8, 2009, Beverly Branch opened in a new library building at 1962
 W. 95th Street. Architectural features include cathedral ceilings, 
clerestory windows and sustainable construction. Attractive landscaping includes a reading garden. This branch has computers available for public use.",Ulo Ormiste,uormiste@chipublib.org,,,pcc-beverly-28,,,,,,,,,41.7209725,-87.6756459
29,yes,missing information on specific location of computers within library and missing contact info,bezazian-library-1226-w-ainslie-street,1022,Bezazian Library,Chicago Public Library,"1226 W. Ainslie Street Chicago, IL 60640",1226 W. Ainslie Street,Chicago,IL,60640,(312) 744-0019,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/bezazian/,0,1,1,0,,,,,,,,,,,,CTA Argyle - Red Line (3 min walk) & bus stop on Broadway and Ainslie,,,,,"Opened in 1957, the Bezazian branch was the 17th Chicago Public Library. This branch has computers available for public use.",Ulo Ormiste,uormiste@chipublib.org,,,pcc-bezazian-29,,,,,Mark Kaplan,,,,41.9715737,-87.6605604
31,yes,missing computer location in library and contact,blackstone-library-4904-s-lake-park-avenue,1023,Blackstone Library,Chicago Public Library,"4904 S. Lake Park Avenue Chicago, IL 60615",4904 S. Lake Park Avenue,Chicago,IL,60615,(312) 747-0511,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",http://www.chipublib.org/branch/details/library/blackstone/,0,1,1,1,,,,,,,,,,,,Bus stop on Lake Park & 49th Street,,,,,"Timothy B. Blackstone Branch, renovated in 1980, was the first branch of the Chicago Public Library. This branch has computers available for public use",Ulo Ormiste,uormiste@chipublib.org,,,pcc-blackstone-31,CyberNavigators are available at this library to lead computer training lessons and answer technology questions.,"CyberNavigators offer both small group classes and
one-on-one sessions at 45 library locations throughout the city. One-on-one
sessions are by appointment only and may last up to one hour.

Learn about:

Computer basics 

Email basics 

Internet basics 

Online job searching and resume writing 

Online research methods 

How to use the Chicago Public Library website, including
checking account information and renewing materials 

To view available courses at your branch, visit http://www.chipublib.org/eventsprog/programs/cyber_nav_branches.php",http://www.chipublib.org/eventsprog/programs/cyber_nav_branches.php,,,,,,41.805821,-87.5902837
32,yes,updated 10/17,erie-neighborhood-house-1701-w-superior-st,,Erie Neighborhood House,Community Technology Center,"1701 W. Superior St. Chicago, IL 60622",1701 W. Superior St.,Chicago,IL,60622,(312) 563-5800,M-F: 9AM-9PM; SA: 9AM-1PM,http://www.eriehouse.org/page/contact-us/erie-community-center,0,1,1,1,,,,,,,,,,,,Bus stop on Chicago & Paulina,,,,,"Erie House's programs are designed to meet the entire family needs spectrum; from growing and developing children and youth, to empowering adults and families to thrive. At this technology resource center participants are 
provided everything from basic word processing and Internet skills to 
advanced courses that bridge them to new careers.",Cesar Salgado,,http://twitter.com/eriehouse,,pcc-bp-technology-center-32,Technology program,Advancing Computer Skills; Building Community; Computer-based Learning; Innovative Technology Learning; State of the Art; Technology Tools for Change,,,,,,,41.894882,-87.670013
